"I've been wearing my Casio watch for a few weeks now, and I couldn't be happier. The classic design never goes out of style. The craftsmanship is excellent, with attention to detail evident in every aspect. The stainless steel case and bracelet have a premium feel, and the automatic movement ensures accurate timekeeping. The Casio watch has exceeded my expectations, and I highly recommend it.", "Я ношу свои часы Casio уже несколько недель, и я очень счастлива. Классический дизайн никогда не выходит из моды. Мастерство замечательное, внимание к деталям заметно в каждом аспекте. Корпус и браслет из нержавеющей стали создают ощущение премиум-класса, а автоматический механизм обеспечивает точное измерение времени. Часы Casio превзошли мои ожидания, и я очень рекомендую его.",theme,frontend/Project/Ua

"Recent Posts", "Последние новости",theme,frontend/Project/Ua
"Stylish Casio Watches for Every Occasion", "Стильные часы Casio на любой случай",theme,frontend/Project/Ua
"Elevate your style with Casio watches, known for their exceptional quality and versatility. Find the perfect timepiece for any occasion!", "Совершенствуйте свой стиль с часами Casio, известными своим исключительным качеством и универсальностью. Найдите идеальные часы для любого случая!",theme,frontend/Project/Ua
"Diesel Watches: Unleash Your Bold Side", "Часы Diesel: раскройте свою смелость",theme,frontend/Project/Ua
"Make a powerful statement with Diesel watches, featuring unique designs and rugged craftsmanship that exude confidence.", "Сделайте сильное заявление с помощью часов Diesel, которые отличаются уникальным дизайном и крепким мастерством, излучающими уверенность.",theme,frontend/Project/Ua
"Casio vs. Diesel: Style and Functionality Clash", "Casio против Diesel: столкновение стиля и функциональности",theme,frontend/Project/Ua
"Explore the clash of style and functionality between Casio and Diesel watches and choose the perfect timepiece for your individuality.", "Исследуйте столкновение стиля и функциональности между часами Casio и Diesel и выберите идеальные часы для своей индивидуальности.",theme,frontend/Project/Ua


"Review", "Отзыв",theme,frontend/Project/Ua
"Create New Customer Account", "Создать новую учетную запись клиента",theme,frontend/Project/Ua
"Allow remote shopping assistance", "Разрешить дистанционную помощь в покупках",theme,frontend/Project/Ua
"Show Password", "Показать пароль",theme,frontend/Project/Ua
"Customer Login", "Вход клиента",theme,frontend/Project/Ua
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.", "Вход в аккаунт был неверен или ваш аккаунт временно отключен. Подождите и повторите попытку позже.",theme,frontend/Project/Ua
"Please enter a valid email address (Ex: johndoe@domain.com).", "Пожалуйста введите действительную почту (например: johndoe@domain.com).",theme,frontend/Project/Ua
"Account Dashboard", "Информационная панель",theme,frontend/Project/Ua
"You have no other address entries in your address book.", "В адресной книге нет других адресных записей.",theme,frontend/Project/Ua
"Short Description", "Краткое описание",theme,frontend/Project/Ua

"Your request is success, now you are in wholesale group!", "Ваш запрос одобрен, теперь вы в оптовой группе!",theme,frontend/Project/Ua
"Please, choose your location:", "Пожалуйста, выберите ваше местонахождение:",theme,frontend/Project/Ua
"ID Image (optional):", "Фото (опционально)",theme,frontend/Project/Ua
"Region:", "Область:",theme,frontend/Project/Ua




"Enter your email address", "Введите ваш адрес электронной почты",theme,frontend/Project/Ua
"My Downloadable Products", "Мои загружаемые продукты",theme,frontend/Project/Ua
"Stored Payment Methods", "Способы оплаты",theme,frontend/Project/Ua
"My Product Reviews", "Мои отзывы",theme,frontend/Project/Ua
"Newsletter Subscriptions", "Подписк на новости",theme,frontend/Project/Ua
"Newsletters", "Новости",theme,frontend/Project/Ua
"Default Shipping Address", "Адрес доставки по умолчанию",theme,frontend/Project/Ua
"Recent Orders", "Недавние заказы",theme,frontend/Project/Ua
"Subscribe", "Подписатся",theme,frontend/Project/Ua
"Recently Ordered", "Недавно заказанные",theme,frontend/Project/Ua
"Nickname", "Имя",theme,frontend/Project/Ua
"Be the first to review this product", "Будьте первым кто оценит этот продукт",theme,frontend/Project/Ua
"You're reviewing:", "Вы обозреваете:",theme,frontend/Project/Ua









